lw	s	expr	tenure	rns	smsa	iq	s	med	mrt	kww	age	age2
4.956	10	.333	1	1	1	89	10	9	0	36	18	324
5.22	10	1.333	2	1	1	80	10	12	1	25	21	441
6.397	12	9.058	0	0	1	72	12	12	1	20	26	676
5.412	18	1.189	2	0	1	115	18	12	1	56	27	729
6.315	16	.798	5	1	1	115	16	12	1	48	27	729
5.371	12	3.295	1	1	1	93	12	8	0	27	24	576
6.023	15	2.916	3	1	1	92	15	12	0	42	24	576
6.163	13	1.164	2	1	1	115	13	5	0	40	20	400
5.472	11	1.975	1	1	1	93	11	12	1	26	20	400
5.407	12	.653	1	1	1	91	12	8	0	39	22	484
5.165	10	4.5	1	1	1	90	10	9	1	35	20	400
5.17	12	3.182	4	1	1	104	12	9	1	47	20	400
4.942	12	1.848	2	1	1	100	12	12	1	42	18	324
4.89	18	0	0	1	1	129	18	15	0	40	28	784
5.727	16	.717	1	0	1	112	16	12	0	39	22	484
6.155	11	6.717	7	1	0	98	11	11	1	38	27	729
6.567	17	4.019	1	1	1	132	17	12	1	45	24	576
5.727	13	0	0	1	1	110	13	13	0	36	21	441
5.964	12	1.191	0	1	1	127	12	11	0	44	21	441
6.109	13	3.62	4	1	1	94	13	8	1	39	22	484
6.387	16	0	0	0	1	97	16	16	1	48	24	576
5.652	15	.255	1	0	1	109	15	11	1	42	24	576
4.905	12	0	1	1	0	89	12	3	0	21	18	324
5.46	12	5.378	6	1	0	90	12	11	0	33	23	529
5.075	12	0	2	1	0	105	12	12	0	39	17	289
5.69	12	5.275	1	1	1	100	12	8	0	27	22	484
5.472	16	.958	1	1	0	111	16	16	1	40	22	484
5.991	17	0	1	1	0	125	17	16	0	44	22	484
5.416	16	0	0	1	0	124	16	12	0	20	21	441
6.136	14	7.934	2	1	1	107	14	12	1	41	24	576
5.298	12	3.991	1	1	1	110	12	12	0	45	26	676
5.481	13	1.455	0	1	0	102	13	16	0	32	21	441
6.023	12	7.333	6	1	0	81	12	12	1	36	25	625
5.416	12	3.784	3	1	0	99	12	12	0	36	21	441
5.784	13	0	1	1	1	102	13	12	1	35	19	361
5.421	12	0	7	1	1	95	12	12	1	44	24	576
5.991	16	.769	1	1	1	98	16	11	0	37	24	576
5.979	16	.556	1	1	0	109	16	4	1	41	22	484
5.733	12	6.655	2	1	0	82	12	8	1	41	24	576
5.075	13	0	0	1	0	105	13	12	0	22	20	400
5.493	12	0	2	1	0	95	12	12	1	36	24	576
5.841	16	1.872	4	1	1	123	16	12	1	43	24	576
5.389	12	0	1	1	0	86	12	12	0	24	19	361
5.215	12	0	2	1	1	87	12	8	0	41	24	576
6.292	16	.553	1	0	0	117	16	12	1	39	22	484
5.759	16	1.128	2	1	1	112	16	12	0	50	24	576
6.31	15	0	1	1	1	119	15	12	0	41	23	529
5.247	12	.385	1	1	0	81	12	6	0	33	21	441
5.808	17	.385	1	1	0	124	17	10	1	48	22	484
5.438	12	0	2	1	0	89	12	7	1	38	22	484
6.397	16	1.189	2	1	1	106	16	12	1	41	21	441
5.38	13	.333	1	1	0	103	13	11	0	30	18	324
5.293	12	.378	1	1	0	91	12	6	0	40	19	361
5.829	16	5.406	2	1	1	101	16	12	1	34	23	529
5.043	12	2.25	2	1	1	83	12	12	0	32	22	484
6.176	17	.161	5	1	1	102	17	12	1	54	24	576
5.193	12	.423	1	1	1	94	12	7	0	34	18	324
5.46	10	3.475	1	1	1	97	10	12	1	38	23	529
6.091	17	0	2	1	1	115	17	12	0	38	23	529
5.986	16	.378	1	1	1	117	16	17	0	38	24	576
5.557	12	5.756	1	1	1	105	12	8	1	45	24	576
5.829	16	.533	5	1	1	113	16	8	0	36	30	900
6.194	12	5.974	0	0	1	83	12	10	1	37	29	841
6.407	18	.406	4	1	1	101	18	17	1	44	29	841
5.793	12	0	6	1	1	113	12	12	1	36	22	484
5.416	12	.628	2	1	1	88	12	12	1	31	23	529
5.778	16	.541	4	1	1	113	16	16	1	27	21	441
6.844	14	0	1	1	1	106	14	12	1	38	20	400
5.451	12	2.166	1	1	1	114	12	10	1	36	23	529
6.293	16	2.113	2	1	1	119	16	11	0	32	22	484
5.361	12	5.58	2	1	1	89	12	1	1	40	24	576
5.82	13	.378	1	1	1	97	13	12	0	28	18	324
6.057	13	.527	1	1	1	83	13	12	0	51	24	576
6.319	11	11.444	1	1	1	97	11	12	1	40	27	729
5.617	12	0	1	1	1	98	12	12	1	37	18	324
5.153	12	1.045	1	1	0	84	12	8	0	24	18	324
5.257	12	1.964	1	1	0	74	12	8	0	24	20	400
4.745	12	2.128	3	1	0	93	12	6	1	32	22	484
6.525	17	1.134	2	1	1	113	17	17	1	41	26	676
5.342	12	1.145	2	1	1	92	12	8	0	37	24	576
5.687	12	2.111	0	1	0	127	12	9	0	44	20	400
5.829	12	6.25	5	1	0	109	12	6	1	44	23	529
5.416	12	1.206	2	1	0	97	12	10	0	42	20	400
5.236	11	4.525	0	1	1	66	11	0	1	30	22	484
6.394	16	.962	7	0	1	109	16	16	1	46	26	676
6.071	16	.277	1	1	1	109	16	4	1	43	24	576
5.22	12	0	1	1	0	85	12	8	1	44	23	529
5.193	12	1.154	1	1	0	81	12	8	0	26	19	361
6.064	9	10.609	1	1	0	87	9	5	1	12	28	784
5.521	13	.968	1	0	1	78	13	12	0	40	20	400
5.347	13	1	1	0	1	54	13	12	0	37	20	400
5.416	12	1.233	1	0	1	98	12	8	1	33	22	484
5.652	12	2.25	3	0	1	98	12	12	0	34	22	484
5.805	16	.603	1	0	1	105	16	16	0	29	22	484
5.106	12	0	1	0	1	87	12	12	0	25	19	361
6.215	13	2.65	0	0	1	117	13	12	1	25	20	400
5.298	14	0	0	0	1	85	14	12	0	30	21	441
5.416	13	1.817	1	0	1	82	13	8	0	35	20	400
6.524	18	1.381	0	0	1	114	18	12	1	39	24	576
7.051	18	3.32	2	0	1	105	18	12	1	48	26	676
5.991	14	2.449	1	0	1	92	14	7	1	20	24	576
5.829	12	0	1	0	1	107	12	12	0	23	18	324
5.927	17	0	2	0	1	111	17	12	0	41	26	676
6.136	16	4.363	1	0	1	119	16	16	0	49	26	676
6.356	12	7.128	8	0	1	97	12	12	1	40	24	576
5.666	12	2.333	1	0	1	110	12	10	1	34	19	361
5.943	12	5.201	6	0	1	96	12	12	1	32	24	576
5.72	10	3.333	4	0	1	102	10	12	1	31	23	529
5.198	12	5.378	6	0	1	64	12	0	1	22	24	576
4.605	12	3	1	0	1	103	12	8	0	32	20	400
5.323	10	9.498	0	0	1	118	10	12	1	39	24	576
5.697	17	0	2	0	1	118	17	13	1	41	23	529
5.704	13	6.72	1	0	1	75	13	12	1	37	29	841
5.886	13	0	1	0	1	112	13	12	1	45	20	400
5.298	12	1.712	1	0	1	95	12	12	0	20	21	441
6.194	16	0	4	0	1	119	16	12	1	38	26	676
5.704	14	.378	1	0	1	94	14	12	1	35	25	625
5.165	12	0	1	0	1	103	12	6	0	27	18	324
5.617	16	.385	1	0	1	90	16	14	1	36	21	441
6.706	17	1.145	5	0	0	128	17	16	1	50	28	784
6.04	12	.378	1	0	1	84	12	12	0	40	19	361
6.136	12	2.333	2	0	1	97	12	8	1	38	22	484
5.704	12	1.333	1	0	1	102	12	12	0	34	19	361
6.384	17	.484	1	0	1	131	17	12	1	41	24	576
5.707	16	.977	1	0	1	126	16	12	1	23	22	484
5.991	16	.397	0	0	1	107	16	12	1	32	21	441
6.786	16	.85	2	0	1	108	16	12	1	45	26	676
6.04	15	0	0	0	1	108	15	12	1	40	28	784
5.298	16	.378	1	0	1	115	16	12	0	46	22	484
5.501	14	1.75	2	0	1	111	14	12	1	44	21	441
5.273	12	1.462	2	0	1	115	12	12	1	47	22	484
5.05	13	1	2	0	1	101	13	11	1	31	19	361
6.122	18	.346	1	0	1	114	18	12	1	48	25	625
5.421	17	0	2	0	1	116	17	12	0	40	22	484
5.38	12	0	2	0	1	90	12	12	1	41	22	484
5.464	12	0	1	0	1	125	12	14	0	33	17	289
5.638	12	.337	1	0	1	98	12	12	0	26	17	289
5.849	15	1.374	4	0	1	111	15	10	1	42	21	441
6.038	15	.806	3	0	1	109	15	12	1	38	22	484
5.743	16	.378	1	0	1	124	16	12	0	36	25	625
6.397	13	.358	4	0	1	121	13	8	1	35	25	625
5.521	12	0	1	0	1	103	12	10	0	37	19	361
5.598	12	1	1	0	1	96	12	12	0	19	17	289
6.021	12	0	2	0	1	100	12	12	1	40	19	361
5.999	10	0	8	0	1	112	10	11	1	38	24	576
5.371	10	0	1	0	1	73	10	12	0	24	17	289
5.628	12	0	1	0	1	101	12	11	0	39	19	361
5.481	12	4.333	4	0	1	99	12	12	0	44	22	484
4.828	12	.462	1	0	1	95	12	12	0	23	19	361
6.125	16	0	3	0	0	109	16	18	1	40	28	784
5.673	12	0	1	0	1	110	12	13	0	35	18	324
6.282	17	0	1	0	1	98	17	4	1	49	27	729
6.62	15	2.037	0	0	1	112	15	12	1	46	29	841
6.62	12	0	1	0	1	90	12	11	1	28	18	324
6.333	14	5.282	0	0	0	102	14	12	1	46	28	784
6.052	16	.658	2	0	1	119	16	12	1	39	22	484
5.553	12	.333	1	0	0	96	12	8	1	34	17	289
6.463	18	1.18	1	0	1	118	18	12	1	40	27	729
5.663	11	5.378	1	0	0	79	11	9	1	39	23	529
5.958	12	0	8	0	0	96	12	10	1	42	26	676
5.778	11	1.006	1	0	0	80	11	12	0	27	17	289
5.814	13	.798	1	0	0	137	13	12	0	36	23	529
5.964	15	.462	1	0	0	116	15	12	0	42	23	529
6.031	11	1.317	2	0	1	69	11	12	1	31	21	441
5.606	12	1.961	1	0	1	78	12	6	0	36	19	361
5.994	12	11.11	4	0	1	99	12	8	1	41	29	841
5.352	12	.378	3	0	1	92	12	16	0	33	18	324
6.043	16	0	6	0	1	113	16	16	0	23	21	441
5.434	13	0	1	0	1	98	13	12	0	29	24	576
6.172	15	.392	3	0	1	115	15	12	1	30	21	441
5.663	16	0	1	0	1	117	16	6	0	41	24	576
5.659	12	0	4	0	1	96	12	8	1	38	21	441
5.521	12	1.783	0	0	1	108	12	10	0	46	21	441
5.412	16	.53	0	0	0	92	16	16	1	34	23	529
5.416	15	3.333	1	0	1	95	15	16	0	38	23	529
5.645	13	.462	1	0	1	94	13	15	0	40	21	441
5.844	12	6.333	7	0	0	115	12	7	1	38	24	576
5.846	16	.25	0	0	0	105	16	12	1	42	23	529
5.576	12	2.545	1	0	0	109	12	7	0	36	22	484
5.684	12	4.509	4	0	0	87	12	12	1	38	22	484
5.541	16	.333	1	0	1	110	16	13	0	34	22	484
5.617	16	.387	1	0	0	110	16	10	0	30	21	441
5.727	12	.962	1	0	1	109	12	17	0	32	19	361
5.617	12	3.166	4	0	0	85	12	12	1	21	21	441
5.652	14	1.378	1	0	0	105	14	10	1	42	26	676
5.595	16	.594	0	0	0	122	16	10	1	39	25	625
6.021	16	0	1	0	1	108	16	14	1	40	22	484
5.624	16	1.309	1	0	1	122	16	12	0	38	22	484
6.263	16	2.397	2	0	1	79	16	8	1	32	24	576
5.165	12	0	1	0	1	105	12	12	0	30	17	289
5.549	12	0	1	0	0	110	12	8	0	42	23	529
5.73	12	2.387	1	0	1	92	12	14	0	32	20	400
5.953	16	3.395	5	0	0	131	16	12	1	32	25	625
5.257	12	1.131	1	0	0	104	12	12	0	32	20	400
6.028	16	4.682	1	0	0	110	16	12	1	39	27	729
5.481	12	.692	1	1	1	99	12	10	0	20	17	289
4.828	9	4.083	1	1	0	72	9	4	0	34	20	400
4.913	12	.462	1	1	0	86	12	6	0	35	19	361
5.46	11	0	5	1	0	68	11	12	1	38	21	441
6.254	16	.495	2	1	0	116	16	12	1	42	29	841
5.298	13	0	1	1	0	96	13	10	0	45	22	484
5.075	9	0	1	1	1	100	9	12	0	32	17	289
5.781	12	0	1	1	1	101	12	12	1	38	18	324
6.444	16	1.275	0	1	1	117	16	12	1	39	22	484
4.828	12	0	2	1	1	93	12	16	0	38	19	361
5.176	12	1	2	1	1	116	12	9	0	37	17	289
5.142	12	5.083	6	1	1	106	12	12	1	42	22	484
5.624	12	2.583	1	1	1	98	12	14	1	45	22	484
5.438	12	0	1	1	1	103	12	12	1	36	23	529
5.352	13	0	1	1	0	100	13	10	0	22	21	441
5.521	12	1.13	1	1	0	96	12	10	1	39	18	324
6.031	12	.878	1	1	1	96	12	10	0	27	18	324
4.796	12	0	1	1	0	104	12	13	0	42	17	289
5.347	17	3.001	1	1	0	106	17	14	0	34	28	784
5.778	16	.417	1	1	0	106	16	12	0	44	23	529
5.501	12	7.786	6	1	1	94	12	9	0	24	26	676
5.858	10	4.333	1	1	0	81	10	10	1	29	21	441
4.718	9	6.462	4	1	0	87	9	5	1	15	22	484
5.247	12	1	1	1	0	75	12	6	0	27	18	324
5.011	12	.333	1	1	0	95	12	5	0	34	17	289
4.868	11	1	4	1	0	86	11	3	0	19	19	361
5.136	10	.308	1	1	0	86	10	3	0	17	18	324
5.22	12	0	1	1	0	104	12	8	0	41	20	400
4.905	12	2.601	3	1	0	95	12	7	0	21	20	400
5.416	12	.615	1	1	0	116	12	8	0	37	18	324
5.704	9	4.333	1	1	0	66	9	8	1	20	21	441
5.684	16	1.475	1	1	1	101	16	0	1	38	22	484
4.89	12	0	0	1	0	96	12	12	0	23	17	289
5.247	12	2.378	4	1	0	104	12	9	1	41	21	441
5.663	16	1.013	1	1	0	105	16	14	1	34	24	576
5.58	12	0	1	1	1	106	12	8	0	34	18	324
6.252	17	1.597	2	1	0	101	17	15	1	34	22	484
5.416	12	.916	1	1	1	96	12	12	1	42	22	484
5.081	12	0	2	1	0	105	12	12	0	34	19	361
6.131	12	.527	9	1	1	106	12	3	1	40	28	784
5.313	12	5.417	6	1	1	102	12	8	1	44	22	484
5.193	11	0	1	1	0	90	11	12	1	46	24	576
5.38	12	.403	1	1	0	104	12	12	0	30	17	289
5.953	16	.462	1	1	0	118	16	12	1	37	21	441
5.298	12	2.725	3	1	0	108	12	9	1	40	22	484
5.485	12	.378	1	1	0	104	12	12	0	37	18	324
5.541	9	8.088	1	1	0	92	9	10	1	40	27	729
5.517	12	.928	1	1	0	87	12	4	0	26	21	441
5.236	15	0	3	1	0	96	15	12	0	38	20	400
5.075	10	1.322	4	1	0	80	10	12	1	34	24	576
6.071	16	1.511	2	1	0	104	16	12	1	40	25	625
6.358	18	0	2	1	0	104	18	9	1	35	27	729
5.442	18	.5	0	1	1	96	18	12	1	24	24	576
5.416	12	3.206	2	1	0	89	12	12	0	24	22	484
4.86	12	1.462	2	1	0	113	12	10	1	39	18	324
5.011	12	1.833	2	1	0	105	12	7	0	29	19	361
5.521	12	0	1	1	0	84	12	7	0	39	20	400
5.231	12	2.434	3	1	1	108	12	7	1	36	21	441
5.136	12	1.462	2	1	1	104	12	8	1	32	20	400
4.828	12	1	1	1	0	106	12	7	0	28	17	289
5.298	10	7.545	8	1	1	70	10	12	1	34	24	576
5.846	16	.475	1	1	1	104	16	11	1	39	24	576
5.112	12	0	1	1	1	91	12	14	0	42	18	324
6.254	18	.395	1	1	1	112	18	14	1	42	26	676
5.247	10	.865	1	1	0	97	10	12	0	27	18	324
5.298	12	1.333	1	1	0	99	12	10	0	40	18	324
5.165	9	.333	1	1	0	86	9	6	0	28	17	289
5.416	12	2.289	2	1	0	90	12	12	0	36	18	324
5.694	12	0	1	0	1	101	12	12	1	43	19	361
5.73	15	0	0	1	0	109	15	11	1	33	21	441
5.153	12	6.333	1	1	0	107	12	12	1	40	24	576
5.298	16	.926	1	1	0	110	16	12	1	48	22	484
6.731	13	0	0	1	1	120	13	10	1	35	20	400
5.82	16	.786	0	1	1	97	16	12	0	34	22	484
5.881	12	1.906	0	1	1	103	12	11	1	37	21	441
5.927	16	.336	0	1	1	114	16	12	1	36	22	484
5.176	11	0	1	1	1	95	11	8	0	31	18	324
6.512	16	.5	2	1	0	97	16	12	0	28	24	576
5.442	14	1.908	0	1	0	97	14	13	0	34	20	400
4.942	13	1	1	1	1	83	13	10	1	25	19	361
5.529	16	0	1	1	0	104	16	12	1	46	24	576
5.687	12	2.817	0	1	0	82	12	12	1	27	24	576
6.023	16	0	1	1	1	113	16	8	1	45	26	676
5.176	12	.692	1	1	0	93	12	7	1	39	22	484
5.784	12	4.828	0	1	0	101	12	12	1	38	25	625
5.628	12	2.489	2	1	0	100	12	7	1	33	23	529
5.075	12	.277	1	1	1	102	12	8	1	32	19	361
